identifier,source_ref,expected_title,observed_title,expected_dimension,observed_dimension,expected_indicator,observed_indicator,indicator_id,status,error
urn:sds:reg:esrs:bp_2_22,ESRS Official,List of sustainability matters assessed to be material (phase-in),List of sustainability matters assessed to be material (phase-in),Transversal,Transversal,List of sustainability matters assessed to be material (phase-in),List of sustainability matters assessed to be material (phase-in),urn:ngsi-ld:Indicator:List_of_sustainability_matters_assessed_to_be_material_phase-in_,success,
urn:sds:reg:gri:gri_101_5_b_iii,GRI Official,areas of rapid decline in ecosystem integrity;,areas of rapid decline in ecosystem integrity;,E,E,areas of rapid decline in ecosystem integrity;,areas of rapid decline in ecosystem integrity;,urn:ngsi-ld:Indicator:areas_of_rapid_decline_in_ecosystem_integrity_,success,
urn:sds:reg:esrs:bp_2_23,ESRS Official,Disclosure of how business model and strategy take account of impacts related to sustainability matters assessed to be material (phase-in),Disclosure of how business model and strategy take account of impacts related to sustainability matters assessed to be material (phase-in),Transversal,Transversal,Disclosure of how business model and strategy take account of impacts related to sustainability matters assessed to be material (phase-in),Disclosure of how business model and strategy take account of impacts related to sustainability matters assessed to be material (phase-in),urn:ngsi-ld:Indicator:Disclosure_of_how_business_model_and_strategy_take_account_of_impacts_related_to_sustainability_,success,
urn:sds:reg:gri:gri_101_5_b_iv,GRI Official,areas of high physical water risks;,areas of high physical water risks;,E,E,areas of high physical water risks;,areas of high physical water risks;,urn:ngsi-ld:Indicator:areas_of_high_physical_water_risks_,success,
urn:sds:reg:esrs:bp_2_24,ESRS Official,Description of any time-bound targets set related to sustainability matters assessed to be material (phase-in) and progress made towards achieving those targets,Description of any time-bound targets set related to sustainability matters assessed to be material (phase-in) and progress made towards achieving those targets,Transversal,Transversal,Description of any time-bound targets set related to sustainability matters assessed to be material (phase-in) and progress made towards achieving those targets,Description of any time-bound targets set related to sustainability matters assessed to be material (phase-in) and progress made towards achieving those targets,urn:ngsi-ld:Indicator:Description_of_any_time-bound_targets_set_related_to_sustainability_matters_assessed_to_be_mater,success,
urn:sds:reg:gri:gri_101_5_b_v,GRI Official,"areas important for the delivery of ecosystem service benefits to Indigenous Peoples, local communities, and other stakeholders;","areas important for the delivery of ecosystem service benefits to Indigenous Peoples, local communities, and other stakeholders;",E,E,"areas important for the delivery of ecosystem service benefits to Indigenous Peoples, local communities, and other stakeholders;","areas important for the delivery of ecosystem service benefits to Indigenous Peoples, local communities, and other stakeholders;",urn:ngsi-ld:Indicator:areas_important_for_the_delivery_of_ecosystem_service_benefits_to_Indigenous_Peoples_local_commu,success,
urn:sds:reg:esrs:bp_2_25,ESRS Official,Description of policies related to sustainability matters assessed to be material (phase-in),Description of policies related to sustainability matters assessed to be material (phase-in),Transversal,Transversal,Description of policies related to sustainability matters assessed to be material (phase-in),Description of policies related to sustainability matters assessed to be material (phase-in),urn:ngsi-ld:Indicator:Description_of_policies_related_to_sustainability_matters_assessed_to_be_material_phase-in_,success,
urn:sds:reg:gri:gri_101_5_c,GRI Official,report the activities that take place in each site reported under 101-5-a;,report the activities that take place in each site reported under 101-5-a;,E,E,report the activities that take place in each site reported under 101-5-a;,report the activities that take place in each site reported under 101-5-a;,urn:ngsi-ld:Indicator:report_the_activities_that_take_place_in_each_site_reported_under_101-5-a_,success,
urn:sds:reg:esrs:bp_2_26,ESRS Official,"Description of actions taken to identify, monitor, prevent, mitigate, remediate or bring end to actual or potential adverse impacts related to sustainability matters assessed to be material (phase-in) and result of such actions","Description of actions taken to identify, monitor, prevent, mitigate, remediate or bring end to actual or potential adverse impacts related to sustainability matters assessed to be material (phase-in) and result of such actions",Transversal,Transversal,"Description of actions taken to identify, monitor, prevent, mitigate, remediate or bring end to actual or potential adverse impacts related to sustainability matters assessed to be material (phase-in) and result of such actions","Description of actions taken to identify, monitor, prevent, mitigate, remediate or bring end to actual or potential adverse impacts related to sustainability matters assessed to be material (phase-in) and result of such actions",urn:ngsi-ld:Indicator:Description_of_actions_taken_to_identify_monitor_prevent_mitigate_remediate_or_bring_end_to_actu,success,
urn:sds:reg:gri:gri_101_5_d,GRI Official,report the products and services in its supply chain with the most significant impacts on biodiversity and the countries or jurisdictions where the activities associated with these products and services take place.,report the products and services in its supply chain with the most significant impacts on biodiversity and the countries or jurisdictions where the activities associated with these products and services take place.,E,E,report the products and services in its supply chain with the most significant impacts on biodiversity and the countries or jurisdictions where the activities associated with these products and services take place.,report the products and services in its supply chain with the most significant impacts on biodiversity and the countries or jurisdictions where the activities associated with these products and services take place.,urn:ngsi-ld:Indicator:report_the_products_and_services_in_its_supply_chain_with_the_most_significant_impacts_on_biodiv,success,
