identifier,source_ref,dimension,dataset_id,indicator_id,policy_count,status,error
urn:sds:reg:esrs:e1_1_02,ESRS Official,E,urn:ngsi-ld:Dataset:esrs_e1_1_02,urn:ngsi-ld:Indicator:Explanation_of_how_targets_are_compatible_with_limiting_of_global_warming_to_one_and_half_degree,2,success,
urn:sds:reg:esrs:e1_1_03,ESRS Official,E,urn:ngsi-ld:Dataset:esrs_e1_1_03,urn:ngsi-ld:Indicator:Disclosure_of_decarbonisation_levers_and_key_action,2,success,
urn:sds:reg:esrs:e1_1_04,ESRS Official,E,urn:ngsi-ld:Dataset:esrs_e1_1_04,urn:ngsi-ld:Indicator:Disclosure_of_significant_operational_expenditures_Opex_and_or_capital_expenditures_Capex_requir,2,success,
urn:sds:reg:esrs:e1_1_05,ESRS Official,E,urn:ngsi-ld:Dataset:esrs_e1_1_05,urn:ngsi-ld:Indicator:Financial_resources_allocated_to_action_plan_OpEx_,2,success,
urn:sds:reg:esrs:e1_1_06,ESRS Official,E,urn:ngsi-ld:Dataset:esrs_e1_1_06,urn:ngsi-ld:Indicator:Financial_resources_allocated_to_action_plan_CapEx_,2,success,
urn:sds:reg:esrs:e1_1_07,ESRS Official,E,urn:ngsi-ld:Dataset:esrs_e1_1_07,urn:ngsi-ld:Indicator:Explanation_of_potential_locked-in_GHG_emissions_from_key_assets_and_products_and_of_how_locked-,2,success,
urn:sds:reg:esrs:e1_1_08,ESRS Official,E,urn:ngsi-ld:Dataset:esrs_e1_1_08,urn:ngsi-ld:Indicator:Explanation_of_any_objective_or_plans_CapEx_CapEx_plans_OpEx_for_aligning_economic_activities_re,2,success,
urn:sds:reg:esrs:e1_1_09,ESRS Official,E,urn:ngsi-ld:Dataset:esrs_e1_1_09,urn:ngsi-ld:Indicator:Significant_CapEx_for_coal-related_economic_activities,2,success,
urn:sds:reg:esrs:e1_1_10,ESRS Official,E,urn:ngsi-ld:Dataset:esrs_e1_1_10,urn:ngsi-ld:Indicator:Significant_CapEx_for_oil-related_economic_activities,2,success,
urn:sds:reg:esrs:e1_1_11,ESRS Official,E,urn:ngsi-ld:Dataset:esrs_e1_1_11,urn:ngsi-ld:Indicator:Significant_CapEx_for_gas-related_economic_activities,2,success,
urn:sds:reg:esrs:e1_1_12,ESRS Official,E,urn:ngsi-ld:Dataset:esrs_e1_1_12,urn:ngsi-ld:Indicator:Undertaking_is_excluded_from_EU_Paris-aligned_Benchmarks,2,success,
urn:sds:reg:esrs:e1_1_13,ESRS Official,E,urn:ngsi-ld:Dataset:esrs_e1_1_13,urn:ngsi-ld:Indicator:Explanation_of_how_transition_plan_is_embedded_in_and_aligned_with_overall_business_strategy_and,2,success,
urn:sds:reg:esrs:e1_1_14,ESRS Official,E,urn:ngsi-ld:Dataset:esrs_e1_1_14,urn:ngsi-ld:Indicator:Transition_plan_is_approved_by_administrative_management_and_supervisory_bodies,2,success,
urn:sds:reg:esrs:e1_1_15,ESRS Official,E,urn:ngsi-ld:Dataset:esrs_e1_1_15,urn:ngsi-ld:Indicator:Explanation_of_progress_in_implementing_transition_plan,2,success,
urn:sds:reg:esrs:e1_1_16,ESRS Official,E,urn:ngsi-ld:Dataset:esrs_e1_1_16,urn:ngsi-ld:Indicator:Date_of_adoption_of_transition_plan_for_undertakings_not_having_adopted_transition_plan_yet,2,success,
urn:sds:reg:esrs:e1_2_01,ESRS Official,E,urn:ngsi-ld:Dataset:esrs_e1_2_01,urn:ngsi-ld:Indicator:Sustainability_matters_addressed_by_policy_for_climate_change,2,success,
urn:sds:reg:esrs:e1_3_01,ESRS Official,E,urn:ngsi-ld:Dataset:esrs_e1_3_01,urn:ngsi-ld:Indicator:Decarbonisation_lever_type,2,success,
urn:sds:reg:esrs:e1_3_02,ESRS Official,E,urn:ngsi-ld:Dataset:esrs_e1_3_02,urn:ngsi-ld:Indicator:Adaptation_solution_type,2,success,
urn:sds:reg:esrs:e1_3_03,ESRS Official,E,urn:ngsi-ld:Dataset:esrs_e1_3_03,urn:ngsi-ld:Indicator:Achieved_GHG_emission_reductions,2,success,
urn:sds:reg:esrs:e1_3_04,ESRS Official,E,urn:ngsi-ld:Dataset:esrs_e1_3_04,urn:ngsi-ld:Indicator:Expected_GHG_emission_reductions,2,success,
urn:sds:reg:esrs:e1_3_05,ESRS Official,E,urn:ngsi-ld:Dataset:esrs_e1_3_05,urn:ngsi-ld:Indicator:Explanation_of_extent_to_which_ability_to_implement_action_depends_on_availability_and_allocatio,2,success,
urn:sds:reg:esrs:e1_3_06,ESRS Official,E,urn:ngsi-ld:Dataset:esrs_e1_3_06,urn:ngsi-ld:Indicator:Explanation_of_relationship_of_significant_CapEx_and_OpEx_required_to_implement_actions_taken_or,2,success,
